NAME,Delta,Label+value,Abbr
Alabama,0,7,AL
Alaska,0,1,AK
Arizona,1,10,AZ
Arkansas,0,4,AR
California,-4,48,CA
Colorado,0,8,CO
Connecticut,0,5,CT
Delaware,0,1,DE
Florida,3,31,FL
Georgia,1,15,GA
Hawaii,0,2,HI
Idaho,1,3,ID
Illinois,-1,16,IL
Indiana,0,9,IN
Iowa,0,4,IA
Kansas,0,4,KS
Kentucky,0,6,KY
Louisiana,0,6,LA
Maine,0,2,ME
Maryland,0,8,MD
Massachusetts,0,9,MA
Michigan,0,13,MI
Minnesota,-1,7,MN
Mississippi,0,4,MS
Missouri,0,8,MO
Montana,0,2,MT
Nebraska,0,3,NE
Nevada,0,4,NV
New Hampshire,0,2,NH
New Jersey,0,12,NJ
New Mexico,0,3,NM
New York,-2,24,NY
North Carolina,1,15,NC
North Dakota,0,1,ND
Ohio,0,15,OH
Oklahoma,0,5,OK
Oregon,-1,5,OR
Pennsylvania,-1,16,PA
Rhode Island,-1,1,RI
South Carolina,0,7,SC
South Dakota,0,1,SD
Tennessee,0,9,TN
Texas,4,42,TX
Utah,1,5,UT
Vermont,0,1,VT
Virginia,0,11,VA
Washington,0,10,WA
West Virginia,0,2,WV
Wisconsin,-1,7,WI
Wyoming,0,1,WY
